SMILES,Solvent,LGAC,Et30,SP,SdP,SA,SB
CCC1(CC)c2ccccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(/C=C/c4cccs4)ccc2-3)C(CC)(CC)c2cc(/C=C/c3cccs3)ccc2-1,C1CCOC1,4.6532,37.4,0.714,0.634,0,0.591
F[B-]1(F)n2c(nc3c4ccccc4c4ccccc4c32)-c2cccc[n+]21,C(Cl)Cl,4.2923,40.7,0.761,0.769,0.04,0.178
F[B-]1(F)n2c(nc3c4ccccc4c4ccccc4c32)-c2cccc[n+]21,C(Cl)(Cl)Cl,4.3222,39.1,0.783,0.614,0.047,0.071
F[B-]1(F)n2c(nc3c4ccccc4c4ccccc4c32)-c2cccc[n+]21,CO,4.301,55.4,0.608,0.904,0.605,0.545
F[B-]1(F)n2c(nc3c4ccccc4c4ccccc4c32)-c2cccc[n+]21,CC#N,4.301,45.6,0.645,0.974,0.044,0.286
CC1=CC(C)=[N+]2C1=C(c1ccc3cccnc3n1)c1c(C)cc(C)n1[B-]2(F)F,CCCCCC,4.6493,31,0.616,0,0,0.056
CC1=CC(C)=[N+]2C1=C(c1ccc3cccnc3n1)c1c(C)cc(C)n1[B-]2(F)F,C(Cl)Cl,4.7782,40.7,0.761,0.769,0.04,0.178
CC1=CC(C)=[N+]2C1=C(c1ccc3cccnc3n1)c1c(C)cc(C)n1[B-]2(F)F,C(Cl)(Cl)Cl,4.7404,39.1,0.783,0.614,0.047,0.071
CC1=CC(C)=[N+]2C1=C(c1ccc3cccnc3n1)c1c(C)cc(C)n1[B-]2(F)F,CO,4.7466,55.4,0.608,0.904,0.605,0.545
CC1=CC(C)=[N+]2C1=C(c1ccc3cccnc3n1)c1c(C)cc(C)n1[B-]2(F)F,CC#N,4.7419,45.6,0.645,0.974,0.044,0.286
CCC1=C(C)C2=C(c3c(C)cc(C)nc3-c3cccs3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,C1CCCCC1,4.8808,30.9,0.683,0,0,0.073
CCC1=C(C)C2=C(c3c(C)cc(C)nc3-c3cccs3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CCCCCC,4.8451,31,0.616,0,0,0.056
CCC1=C(C)C2=C(c3c(C)cc(C)nc3-c3cccs3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CC1=CC=CC=C1,4.8692,33.9,0.782,0.284,0,0.128
CCC1=C(C)C2=C(c3c(C)cc(C)nc3-c3cccs3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,C1COCCO1,4.8751,36,0.737,0.312,0,0.444
CCC1=C(C)C2=C(c3c(C)cc(C)nc3-c3cccs3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,C(Cl)(Cl)Cl,4.8808,39.1,0.783,0.614,0.047,0.071
CCC1=C(C)C2=C(c3c(C)cc(C)nc3-c3cccs3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CCOC(=O)C,4.8921,38.1,0.656,0.603,0,0.542
CCC1=C(C)C2=C(c3c(C)cc(C)nc3-c3cccs3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,C1CCOC1,4.8573,37.4,0.714,0.634,0,0.591
CCC1=C(C)C2=C(c3c(C)cc(C)nc3-c3cccs3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CS(=O)C,4.7782,45.1,0.83,1,0.072,0.647
CCC1=C(C)C2=C(c3c(C)cc(C)nc3-c3cccs3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CN(C)C=O,4.8573,43.2,0.759,0.977,0.031,0.613
CCC1=C(C)C2=C(c3c(C)cc(C)nc3-c3cccs3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CCO,4.8692,51.9,0.633,0.783,0.4,0.658
CCC1=C(C)C2=C(c3c(C)cc(C)nc3-c3cccs3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CC#N,4.7853,45.6,0.645,0.974,0.044,0.286
c1ccc(-c2nc(-c3nc(-c4ccccc4)c(-c4ccccc4)o3)oc2-c2ccccc2)cc1,C1COCCO1,4.4384,36,0.737,0.312,0,0.444
c1ccc(-c2nc(-c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)o4)cc3)oc2-c2ccccc2)cc1,C1COCCO1,4.6522,36,0.737,0.312,0,0.444
c1ccc(-c2nc(-c3ccc(-c4ccc(-c5nc(-c6ccccc6)c(-c6ccccc6)o5)cc4)cc3)oc2-c2ccccc2)cc1,C1COCCO1,4.7818,36,0.737,0.312,0,0.444
O=c1[nH]c2[n+](c3ccccc13)[B-](F)(F)Oc1ccccc1-2,CC1=CC=CC=C1,4.07,33.9,0.782,0.284,0,0.128
O=c1[nH]c2[n+](c3ccccc13)[B-](F)(F)Oc1ccccc1-2,CC#N,4.07,45.6,0.645,0.974,0.044,0.286
CC(C)(C)c1cc2c(c(C(C)(C)C)c1)O[B-](F)(F)[n+]1c-2[nH]c(=O)c2ccccc21,CC1=CC=CC=C1,3.77,33.9,0.782,0.284,0,0.128
CC(C)(C)c1cc2c(c(C(C)(C)C)c1)O[B-](F)(F)[n+]1c-2[nH]c(=O)c2ccccc21,CC#N,3.79,45.6,0.645,0.974,0.044,0.286
F[B-]1(F)Oc2ccccc2-c2nc(-c3ccccc3)c3ccccc3[n+]21,CC1=CC=CC=C1,3.7,33.9,0.782,0.284,0,0.128
F[B-]1(F)Oc2ccccc2-c2nc(-c3ccccc3)c3cc(Cl)ccc3[n+]21,CC1=CC=CC=C1,3.83,33.9,0.782,0.284,0,0.128
CC(C)(C)c1cc2c(c(C(C)(C)C)c1)O[B-](F)(F)[n+]1c-2nc(-c2ccccc2)c2cc(Cl)ccc21,CC1=CC=CC=C1,3.5899,33.9,0.782,0.284,0,0.128
F[B-]1(F)Oc2ccccc2-c2cnc3ccccc3[n+]21,CC1=CC=CC=C1,3.82,33.9,0.782,0.284,0,0.128
CCn1c2ccccc2c2cc(/C=C/c3cccc[n+]3CCCS(=O)(=O)[O-])ccc21,CC1=CC=CC=C1,4.3139,33.9,0.782,0.284,0,0.128
CCn1c2ccccc2c2cc(/C=C/c3cccc[n+]3CCCS(=O)(=O)[O-])ccc21,C1CCOC1,4.4594,37.4,0.714,0.634,0,0.591
CCn1c2ccccc2c2cc(/C=C/c3cccc[n+]3CCCS(=O)(=O)[O-])ccc21,CC(=O)C,4.4564,42.2,0.651,0.907,0,0.475
CCn1c2ccccc2c2cc(/C=C/c3cccc[n+]3CCCS(=O)(=O)[O-])ccc21,CC#N,4.4594,45.6,0.645,0.974,0.044,0.286
CCn1c2ccccc2c2cc(/C=C/c3cccc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)[n+]3CCCS(=O)(=O)[O-])ccc21,CC1=CC=CC=C1,4.5453,33.9,0.782,0.284,0,0.128
CCn1c2ccccc2c2cc(/C=C/c3cccc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)[n+]3CCCS(=O)(=O)[O-])ccc21,C1CCOC1,4.8102,37.4,0.714,0.634,0,0.591
CCn1c2ccccc2c2cc(/C=C/c3cccc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)[n+]3CCCS(=O)(=O)[O-])ccc21,CC(=O)C,4.8182,42.2,0.651,0.907,0,0.475
CCn1c2ccccc2c2cc(/C=C/c3cccc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)[n+]3CCCS(=O)(=O)[O-])ccc21,CC#N,4.7952,45.6,0.645,0.974,0.044,0.286
CCn1c2ccccc2c2cc(/C=C/c3cc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)[n+](CCCS(=O)(=O)[O-])c(/C=C/c4ccc5c(c4)c4ccccc4n5CC)c3)ccc21,CC1=CC=CC=C1,4.7059,33.9,0.782,0.284,0,0.128
CCn1c2ccccc2c2cc(/C=C/c3cc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)[n+](CCCS(=O)(=O)[O-])c(/C=C/c4ccc5c(c4)c4ccccc4n5CC)c3)ccc21,C1CCOC1,4.8351,37.4,0.714,0.634,0,0.591
CCn1c2ccccc2c2cc(/C=C/c3cc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)[n+](CCCS(=O)(=O)[O-])c(/C=C/c4ccc5c(c4)c4ccccc4n5CC)c3)ccc21,CC(=O)C,4.8739,42.2,0.651,0.907,0,0.475
CCn1c2ccccc2c2cc(/C=C/c3cc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)[n+](CCCS(=O)(=O)[O-])c(/C=C/c4ccc5c(c4)c4ccccc4n5CC)c3)ccc21,CC#N,4.8621,45.6,0.645,0.974,0.044,0.286
F[B-]1(F)n2cccc2C(c2ccccc2)=C2C=CC(c3ccc(OC4=[N+]5C(=C(c6ccccc6)c6cc(Br)c(Br)n6[B-]5(F)F)C=C4Br)cc3)=[N+]21,C(Cl)(Cl)Cl,5.16,39.1,0.783,0.614,0.047,0.071
F[B-]1(F)n2cccc2C(c2ccccc2)=C2C=CC(c3cccc(OC4=[N+]5C(=C(c6ccccc6)c6cc(Br)c(Br)n6[B-]5(F)F)C=C4Br)c3)=[N+]21,C(Cl)(Cl)Cl,5.28,39.1,0.783,0.614,0.047,0.071
c1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7ccccc7[nH]6)cc5)cc4)cc3)nc2c1,CN(C)C=O,4.7627,43.2,0.759,0.977,0.031,0.613
Brc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7cc(Br)ccc7[nH]6)cc5)cc4)cc3)nc2c1,CN(C)C=O,4.5198,43.2,0.759,0.977,0.031,0.613
Cc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7cc(C)ccc7[nH]6)cc5)cc4)cc3)nc2c1,CN(C)C=O,4.7582,43.2,0.759,0.977,0.031,0.613
Cc1cc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)ccc1-c1ccc(-c2nc3ccccc3[nH]2)cc1,CN(C)C=O,4.5821,43.2,0.759,0.977,0.031,0.613
Cc1cc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)c(C)cc1-c1ccc(-c2nc3ccccc3[nH]2)cc1,CN(C)C=O,4.5623,43.2,0.759,0.977,0.031,0.613
Cc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7cc(C)ccc7[nH]6)cc5)c(C)c4)cc3)nc2c1,CN(C)C=O,4.6212,43.2,0.759,0.977,0.031,0.613
Fc1cc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)ccc1-c1ccc(-c2nc3ccccc3[nH]2)cc1,CN(C)C=O,4.6395,43.2,0.759,0.977,0.031,0.613
Fc1cc(-c2ccc(-c3nc4cc(Br)ccc4[nH]3)cc2)ccc1-c1ccc(-c2nc3cc(Br)ccc3[nH]2)cc1,CN(C)C=O,4.5647,43.2,0.759,0.977,0.031,0.613
Cc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7cc(C)ccc7[nH]6)cc5)c(F)c4)cc3)nc2c1,CN(C)C=O,4.7649,43.2,0.759,0.977,0.031,0.613
c1ccc2c[n+]3ccccc3cc2c1,O,3.8808,63.1,0.681,0.997,1.062,0.025
Fc1ccc2cc3cccc[n+]3cc2c1,O,3.8129,63.1,0.681,0.997,1.062,0.025
Fc1cc(F)c2cc3cccc[n+]3cc2c1,O,3.8692,63.1,0.681,0.997,1.062,0.025
Clc1ccc2cc3cccc[n+]3cc2c1,O,3.6628,63.1,0.681,0.997,1.062,0.025
COc1ccc2cc3cccc[n+]3cc2c1,O,3.2788,63.1,0.681,0.997,1.062,0.025
COc1c2ccccc2c(-c2ccccc2)c2ccccc12,C(Cl)(Cl)Cl,3.985,39.1,0.783,0.614,0.047,0.071
COc1c2ccccc2c(-c2ccccc2)c2ccccc12,C1COCCO1,4.0212,36,0.737,0.312,0,0.444
COc1c2ccccc2c(-c2ccccc2)c2ccccc12,CN(C)C=O,4.0512,43.2,0.759,0.977,0.031,0.613
O=CC1=Cc2c(-c3ccccc3)oc(-c3ccccc3)c2C=C(C=O)C1,C(Cl)(Cl)Cl,4.3181,39.1,0.783,0.614,0.047,0.071
COc1ccc(-c2oc(-c3ccc(OC)cc3)c3c2C=C(C=O)CC(C=O)=C3)cc1,C(Cl)(Cl)Cl,4.356,39.1,0.783,0.614,0.047,0.071
O=CC1=Cc2c(-c3ccc(-c4ccccc4)cc3)oc(-c3ccc(-c4ccccc4)cc3)c2C=C(C=O)C1,C(Cl)(Cl)Cl,4.574,39.1,0.783,0.614,0.047,0.071
CCOC(=O)/C=C/C1=Cc2c(-c3ccccc3)oc(-c3ccccc3)c2C=C(/C=C/C(=O)OCC)C1,C(Cl)(Cl)Cl,4.3874,39.1,0.783,0.614,0.047,0.071
Cc1ccc(S(=O)(=O)/N=C/C2=Cc3c(-c4ccccc4)oc(-c4ccccc4)c3C=C(/C=N/S(=O)(=O)c3ccc(C)cc3)C2)cc1,C(Cl)(Cl)Cl,4.3927,39.1,0.783,0.614,0.047,0.071
O=CC1=Cc2c(-c3ccccc3)oc(-c3ccccc3)c2C=C(C=O)C1,CC1=CC=CC=C1,4.3075,33.9,0.782,0.284,0,0.128
O=CC1=Cc2c(-c3ccccc3)oc(-c3ccccc3)c2C=C(C=O)C1,C1COCCO1,4.3424,36,0.737,0.312,0,0.444
O=CC1=Cc2c(-c3ccccc3)oc(-c3ccccc3)c2C=C(C=O)C1,C(Cl)Cl,4.3075,40.7,0.761,0.769,0.04,0.178
O=CC1=Cc2c(-c3ccccc3)oc(-c3ccccc3)c2C=C(C=O)C1,CN(C)C=O,4.3181,43.2,0.759,0.977,0.031,0.613
O=CC1=Cc2c(-c3ccccc3)oc(-c3ccccc3)c2C=C(C=O)C1,CS(=O)C,4.3054,45.1,0.83,1,0.072,0.647
O=CC1=Cc2c(-c3ccccc3)oc(-c3ccccc3)c2C=C(C=O)C1,CCO,4.2856,51.9,0.633,0.783,0.4,0.658
Nc1cccc2c1C(=O)c1ccccc1-2,CCO,3.8921,51.9,0.633,0.783,0.4,0.658
c1ccc(CCc2nc(CCc3ccccc3)c(CCc3ccccc3)c(CCc3ccccc3)c2CCc2ccccc2)cc1,C(Cl)Cl,4.1461,40.7,0.761,0.769,0.04,0.178
COc1ccc(CCc2nc(CCc3ccc(OC)cc3)c(CCc3ccc(OC)cc3)c(CCc3ccc(OC)cc3)c2CCc2ccc(OC)cc2)cc1,C(Cl)Cl,4.7924,40.7,0.761,0.769,0.04,0.178
Fc1ccc(CCc2nc(CCc3ccc(F)cc3)c(CCc3ccc(F)cc3)c(CCc3ccc(F)cc3)c2CCc2ccc(F)cc2)cc1,C(Cl)Cl,4.1761,40.7,0.761,0.769,0.04,0.178
c1csc(CCc2nc(CCc3cccs3)c(CCc3cccs3)c(CCc3cccs3)c2CCc2cccs2)c1,C(Cl)Cl,4.5563,40.7,0.761,0.769,0.04,0.178
COc1ccc(CCc2c(CCc3ccc(OC)cc3)c(CCc3ccc(OC)cc3)c(CCc3ccc(OC)cc3)c(CCc3ccc(OC)cc3)c2CCc2ccc(OC)cc2)cc1,C(Cl)Cl,5.1004,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc(CCc2c(CCc3ccc(C(C)(C)C)cc3)c(CCc3ccc(C(C)(C)C)cc3)c(CCc3ccc(C(C)(C)C)cc3)c(CCc3ccc(C(C)(C)C)cc3)c2CCc2ccc(C(C)(C)C)cc2)cc1,C(Cl)Cl,5.0374,40.7,0.761,0.769,0.04,0.178
Fc1ccc(CCc2c(CCc3ccc(F)cc3)c(CCc3ccc(F)cc3)c(CCc3ccc(F)cc3)c(CCc3ccc(F)cc3)c2CCc2ccc(F)cc2)cc1,C(Cl)Cl,4.9823,40.7,0.761,0.769,0.04,0.178
c1csc(CCc2c(CCc3cccs3)c(CCc3cccs3)c(CCc3cccs3)c(CCc3cccs3)c2CCc2cccs2)c1,C(Cl)Cl,5.0212,40.7,0.761,0.769,0.04,0.178
COc1ccc(CCc2cc(CCc3ccc(OC)cc3)c(CCc3ccc(OC)cc3)c(CCc3ccc(OC)cc3)c2CCc2ccc(OC)cc2)cc1,C(Cl)Cl,4.8451,40.7,0.761,0.769,0.04,0.178
CC(C)(C)c1ccc(CCc2cc(CCc3ccc(C(C)(C)C)cc3)c(CCc3ccc(C(C)(C)C)cc3)c(CCc3ccc(C(C)(C)C)cc3)c2CCc2ccc(C(C)(C)C)cc2)cc1,C(Cl)Cl,4.7404,40.7,0.761,0.769,0.04,0.178
Fc1ccc(CCc2cc(CCc3ccc(F)cc3)c(CCc3ccc(F)cc3)c(CCc3ccc(F)cc3)c2CCc2ccc(F)cc2)cc1,C(Cl)Cl,4.7243,40.7,0.761,0.769,0.04,0.178
c1csc(CCc2cc(CCc3cccs3)c(CCc3cccs3)c(CCc3cccs3)c2CCc2cccs2)c1,C(Cl)Cl,4.6335,40.7,0.761,0.769,0.04,0.178
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,CO,4.7945,55.4,0.608,0.904,0.605,0.545
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,CC#N,4.6385,45.6,0.645,0.974,0.044,0.286
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,CCO,4.8445,51.9,0.633,0.783,0.4,0.658
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,CN(C)C=O,4.7292,43.2,0.759,0.977,0.031,0.613
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,CS(=O)C,4.7782,45.1,0.83,1,0.072,0.647
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,C1CCOC1,4.6955,37.4,0.714,0.634,0,0.591
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,CCOC(=O)C,4.6758,38.1,0.656,0.603,0,0.542
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,C1COCCO1,4.7143,36,0.737,0.312,0,0.444
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,CC1=CC=CC=C1,4.6758,33.9,0.782,0.284,0,0.128
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,C1CCCCC1,4.5763,30.9,0.683,0,0,0.073
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,CCCCCC,4.5065,31,0.616,0,0,0.056
O=P1(c2ccccc2)C2=C(c3ccccc31)C(c1ccccc1)(c1ccccc1)c1cc(N(c3ccccc3)c3ccccc3)ccc12,CC1=CC=CC=C1,4.2601,33.9,0.782,0.284,0,0.128
O=P1(c2ccccc2)C2=C(c3ccccc31)C(c1ccccc1)(c1ccccc1)c1cc(N(c3ccccc3)c3ccccc3)ccc12,CO,4.2041,55.4,0.608,0.904,0.605,0.545
CC1(C)C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc31)P(=O)(c1ccccc1)c1ccccc12,CC1=CC=CC=C1,4.179,33.9,0.782,0.284,0,0.128
CC1(C)C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc31)P(=O)(c1ccccc1)c1ccccc12,CC#N,4.1461,45.6,0.645,0.974,0.044,0.286
CC1(C)C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc31)P(=O)(c1ccccc1)c1ccccc12,CO,4.1239,55.4,0.608,0.904,0.605,0.545
O=P1(c2ccccc2)C2=C(c3ccccc31)[Si](c1ccccc1)(c1ccccc1)c1cc(N(c3ccccc3)c3ccccc3)ccc12,CC1=CC=CC=C1,4.2095,33.9,0.782,0.284,0,0.128
O=P1(c2ccccc2)C2=C(c3ccccc31)[Si](c1ccccc1)(c1ccccc1)c1cc(N(c3ccccc3)c3ccccc3)ccc12,CC#N,4.1673,45.6,0.645,0.974,0.044,0.286
O=P1(c2ccccc2)C2=C(c3ccccc31)[Si](c1ccccc1)(c1ccccc1)c1cc(N(c3ccccc3)c3ccccc3)ccc12,CO,4.1703,55.4,0.608,0.904,0.605,0.545
C[Si]1(C)C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc31)P(=O)(c1ccccc1)c1ccccc12,CC1=CC=CC=C1,4.143,33.9,0.782,0.284,0,0.128
C[Si]1(C)C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc31)P(=O)(c1ccccc1)c1ccccc12,CC#N,4.1139,45.6,0.645,0.974,0.044,0.286
C[Si]1(C)C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc31)P(=O)(c1ccccc1)c1ccccc12,CO,4.1303,55.4,0.608,0.904,0.605,0.545
C(=C(CCc1ccccc1)CCc1ccccc1)c1ccc(-c2ccc(C=C(CCc3ccccc3)CCc3ccccc3)cc2)cc1,C(Cl)(Cl)Cl,4.9345,39.1,0.783,0.614,0.047,0.071
O=[N+]([O-])c1cc(C=C(CCc2ccccc2)CCc2ccccc2)ccc1C=C(CCc1ccccc1)CCc1ccccc1,C(Cl)(Cl)Cl,4.5051,39.1,0.783,0.614,0.047,0.071
C(=C(CCc1ccccc1)CCc1ccccc1)c1ccc2cc(C=C(CCc3ccccc3)CCc3ccccc3)ccc2c1,C(Cl)(Cl)Cl,4.7853,39.1,0.783,0.614,0.047,0.071
CCCC1(CCC)c2cc(C=C(CCc3ccccc3)CCc3ccccc3)ccc2-c2ccc(C=C(CCc3ccccc3)CCc3ccccc3)cc21,C(Cl)(Cl)Cl,4.7243,39.1,0.783,0.614,0.047,0.071
COc1cc(C=C(CCc2ccccc2)CCc2ccccc2)c(OC)cc1C=C(CCc1ccccc1)CCc1ccccc1,C(Cl)(Cl)Cl,4.5051,39.1,0.783,0.614,0.047,0.071
CC(=C(CCc1ccccc1)CCc1ccccc1)c1ccc(C(C)=C(CCc2ccccc2)CCc2ccccc2)cc1,C(Cl)(Cl)Cl,4.4914,39.1,0.783,0.614,0.047,0.071
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/c3nc4ccccc4s3)c3cccc4c5cccc6c(/C=C/c7nc8ccccc8s7)cc1c(c65)c2c34,C(Cl)Cl,4.7782,40.7,0.761,0.769,0.04,0.178
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/c3nc4ccccc4s3)c3cccc4c5cccc6c(/C=C/c7nc8ccccc8s7)cc1c(c65)c2c34,CC1=CC=CC=C1,4.7324,33.9,0.782,0.284,0,0.128
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/c3nc4ccccc4s3)c3cccc4c5cccc6c(/C=C/c7nc8ccccc8s7)cc1c(c65)c2c34,CC#N,4.6335,45.6,0.645,0.974,0.044,0.286
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/c3nc4ccccc4s3)c3cccc4c5cccc6c(/C=C/c7nc8ccccc8s7)cc1c(c65)c2c34,C1CCCCC1,4.7634,30.9,0.683,0,0,0.073
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/C=C/c3nc4ccccc4s3)c3cccc4c5cccc6c(/C=C/C=C/c7nc8ccccc8s7)cc1c(c65)c2c34,C(Cl)Cl,4.8062,40.7,0.761,0.769,0.04,0.178
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/C=C/c3nc4ccccc4s3)c3cccc4c5cccc6c(/C=C/C=C/c7nc8ccccc8s7)cc1c(c65)c2c34,CC1=CC=CC=C1,4.7924,33.9,0.782,0.284,0,0.128
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/C=C/c3nc4ccccc4s3)c3cccc4c5cccc6c(/C=C/C=C/c7nc8ccccc8s7)cc1c(c65)c2c34,CC#N,4.6021,45.6,0.645,0.974,0.044,0.286
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/C=C/c3nc4ccccc4s3)c3cccc4c5cccc6c(/C=C/C=C/c7nc8ccccc8s7)cc1c(c65)c2c34,C1CCCCC1,4.8062,30.9,0.683,0,0,0.073
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C=C(CN)CN)c3cccc4c5cccc6c(C=C(CN)CN)cc1c(c65)c2c34,C(Cl)Cl,4.5185,40.7,0.761,0.769,0.04,0.178
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C=C(CN)CN)c3cccc4c5cccc6c(C=C(CN)CN)cc1c(c65)c2c34,CC1=CC=CC=C1,4.5051,33.9,0.782,0.284,0,0.128
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C=C(CN)CN)c3cccc4c5cccc6c(C=C(CN)CN)cc1c(c65)c2c34,CC#N,4.4314,45.6,0.645,0.974,0.044,0.286
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C=C(CN)CN)c3cccc4c5cccc6c(C=C(CN)CN)cc1c(c65)c2c34,C1CCCCC1,4.4624,30.9,0.683,0,0,0.073
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/C=C(CN)CN)c3cccc4c5cccc6c(/C=C/C=C(CN)CN)cc1c(c65)c2c34,C(Cl)Cl,4.6435,40.7,0.761,0.769,0.04,0.178
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/C=C(CN)CN)c3cccc4c5cccc6c(/C=C/C=C(CN)CN)cc1c(c65)c2c34,CC1=CC=CC=C1,4.6128,33.9,0.782,0.284,0,0.128
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/C=C(CN)CN)c3cccc4c5cccc6c(/C=C/C=C(CN)CN)cc1c(c65)c2c34,CC#N,4.6335,45.6,0.645,0.974,0.044,0.286
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(/C=C/C=C(CN)CN)c3cccc4c5cccc6c(/C=C/C=C(CN)CN)cc1c(c65)c2c34,C1CCCCC1,4.415,30.9,0.683,0,0,0.073
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(F)c(F)c3)cn12,CC1=CC=CC=C1,3.693,33.9,0.782,0.284,0,0.128
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(F)c(F)c3)cn12,C1CCCCC1,3.699,30.9,0.683,0,0,0.073
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(F)c(F)c3)cn12,C(Cl)Cl,3.827,40.7,0.761,0.769,0.04,0.178
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(F)c(F)c3)cn12,CCOC(=O)C,3.644,38.1,0.656,0.603,0,0.542
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(F)c(F)c3)cn12,CC#N,3.741,45.6,0.645,0.974,0.044,0.286
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(F)c(F)c3)cn12,CO,3.787,55.4,0.608,0.904,0.605,0.545
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(Cl)cc3)cn12,CCCCCC,3.576,31,0.616,0,0,0.056
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(Cl)cc3)cn12,CC1=CC=CC=C1,3.5899,33.9,0.782,0.284,0,0.128
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(Cl)cc3)cn12,C(Cl)(Cl)Cl,3.661,39.1,0.783,0.614,0.047,0.071
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(Cl)cc3)cn12,C(Cl)Cl,3.753,40.7,0.761,0.769,0.04,0.178
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(Cl)cc3)cn12,CC#N,3.607,45.6,0.645,0.974,0.044,0.286
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(Cl)cc3)cn12,CO,3.663,55.4,0.608,0.904,0.605,0.545
